journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
Photoelectric Effect,QD-Based LCD Pixel,WSe2,Infrared Sensing,294.56,4.209,1.706,1.618,0.186,0.257,831.5,1.491,1,0.448,0.637,29.667,1,0.446
Spintronics Devices,Quantum Well Laser,MoS2,Display Technology,290.4,4.571,2.781,1.879,0.257,0.287,623.9,1.988,0,0.096,0.617,36.872,1,0.528
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Optical Communication,307.21,4.57,1.118,1.157,0.31,0.25,1058,1.172,1,-0.002,0.668,33.061,1,0.008
Photoelectric Effect,Avalanche Photodiode,GaN/AlGaN,Non-Volatile Memory,293.69,2.002,5.823,3.214,0.499,0.314,375.1,3.306,0,-0.259,0.48,11.43,0,0.846
Schrodinger Cat Paradox,2D-TMD FET,GaN/AlGaN,Display Technology,298.94,2.648,1.808,2.645,0.258,0.492,476.1,2.604,0,0.309,0.46,20.89,0,0.509
k·p Perturbation Theory,Avalanche Photodiode,CdSe/CdS QDs,Non-Volatile Memory,301.96,3.48,5.169,2.493,0.233,0.268,462.4,2.682,0,0.015,0.615,28.788,1,0.642
Quantum Cascade Laser,Quantum Cascade Laser,GaAs/AlGaAs,Visible LEDs,283.05,5.532,4.431,1.057,0.245,0.329,1195.2,1.037,1,-0.058,0.691,31.546,1,0.435
Spintronics Devices,Spintronic MRAM Cell,GaAs/AlGaAs,Display Technology,313.3,4.48,1.374,1.181,0.466,0.499,1122.1,1.105,1,0.522,0.661,30.055,1,0.384
Single Quantum Well,Quantum Well Laser,MoS2,Visible LEDs,372.86,4.119,3,1.883,0.05,0.245,592.7,2.092,0,-0.117,0.305,10.734,0,0.427
Schrodinger Cat Paradox,Spintronic MRAM Cell,WSe2,Display Technology,255.58,2.612,0.923,2.033,0.2,0.481,553.6,2.24,0,0.668,0.309,12.851,0,0.476
Single Quantum Well,Spintronic MRAM Cell,MoS2,Visible LEDs,308.1,2.117,0.588,1.863,0.573,0.301,641.4,1.933,0,0.693,0.451,19.678,0,0.538
Photoelectric Effect,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,281,3.789,1.751,1.513,0.359,0.478,798,1.554,1,0.217,0.501,21.859,1,0.203
Colloidal Quantum Dots,2D-TMD FET,CdSe/CdS QDs,Non-Volatile Memory,314.44,1.899,1.167,2.005,0.189,0.375,718.3,1.726,1,-0.021,0.373,8.632,0,0.325
Schrodinger Cat Paradox,Spintronic MRAM Cell,CdSe/CdS QDs,Optical Communication,301.16,2.762,1.093,1.692,0.296,0.331,782.9,1.584,1,0.792,0.381,11.22,0,0.548
Single Quantum Well,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,319.05,2.885,5.031,1.302,0.307,0.293,999.6,1.24,1,-0.04,0.488,13.685,0,0.413
k·p Perturbation Theory,Quantum Cascade Laser,ZnSe-based,Non-Volatile Memory,329.39,4.593,4.819,2.558,0.385,0.238,471.6,2.629,0,-0.027,0.622,38.766,1,0.559
Spintronics Devices,Quantum Cascade Laser,ZnSe-based,Visible LEDs,304.81,2.645,4.364,2.544,0.484,0.308,473.1,2.621,0,-0.242,0.527,23.501,0,0.623
Quantum Cascade Laser,QD-Based LCD Pixel,InGaAs/InP,Visible LEDs,328.3,0.561,3.557,0.86,0.339,0.39,1368.8,0.906,1,0.152,0.191,5.702,0,0.434
Quantum Cascade Laser,Avalanche Photodiode,MoS2,Non-Volatile Memory,241.39,3.504,3.936,1.575,0.246,0.299,826.2,1.501,1,-0.175,0.281,12.334,0,0.686
Colloidal Quantum Dots,Avalanche Photodiode,CdSe/CdS QDs,Infrared Sensing,339.76,2.301,4.619,2.096,0.379,0.268,616.2,2.012,0,-0.097,0.317,9.213,0,0.621
Schrodinger Cat Paradox,Quantum Cascade Laser,ZnSe-based,Infrared Sensing,309.38,3.043,2.911,2.54,0.23,0.275,552.6,2.244,0,0,0.484,20.527,0,0.4
Spintronics Devices,Quantum Well Laser,MoS2,Visible LEDs,326.95,2.913,4.555,1.859,0.197,0.399,656.4,1.889,0,0.024,0.378,12.59,0,0.518
k·p Perturbation Theory,Quantum Well Laser,MoS2,Infrared Sensing,269.5,2.726,5.003,1.702,0.124,0.423,721.4,1.719,1,-0.341,0.445,7.184,0,0.662
Spintronics Devices,Quantum Well Laser,ZnSe-based,Display Technology,279.23,3.79,2.995,3.081,0.143,0.233,410.9,3.018,0,-0.046,0.601,26.99,1,0.464
Quantum Cascade Laser,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,303.65,1.467,3.052,1.465,0.21,0.233,891.2,1.391,1,0.159,0.332,4.641,0,0.3
Schrodinger Cat Paradox,QD-Based LCD Pixel,MoS2,Display Technology,299.57,2.483,2.376,2.047,0.182,0.338,532.2,2.33,0,-0.076,0.45,13.419,0,0.373
Schrodinger Cat Paradox,QD-Based LCD Pixel,MoS2,Visible LEDs,307.08,3.684,2.473,1.649,0.331,0.453,788.8,1.572,1,-0.045,0.63,19.492,0,0.38
k·p Perturbation Theory,Quantum Cascade Laser,WSe2,Non-Volatile Memory,327.11,2.386,2.313,1.711,0.18,0.415,723.6,1.714,1,0.032,0.397,9.313,0,0.205
Quantum Cascade Laser,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,255.87,1.391,4.266,1.204,0.05,0.175,977.2,1.269,1,-0.025,0.179,1.255,0,0.329
Single Quantum Well,Quantum Well Laser,InGaAs/InP,Visible LEDs,324.35,3.669,5.599,0.738,0.196,0.274,1576.1,0.787,1,-0.206,0.569,17.287,0,0.524
Single Quantum Well,2D-TMD FET,WSe2,Display Technology,300.21,4.123,1.269,1.648,0.253,0.207,745.8,1.663,1,-0.007,0.646,25.827,1,0.233
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,294.91,2.955,1.986,2.655,0.239,0.273,539.5,2.299,0,0.558,0.426,17.873,0,0.721
Quantum Cascade Laser,2D-TMD FET,WSe2,Optical Communication,263.22,1.039,0.905,1.457,0.452,0.46,934.9,1.326,1,-0.21,0.289,0.757,0,0.171
Spintronics Devices,Quantum Well Laser,GaN/AlGaN,Non-Volatile Memory,312.58,3.706,8.548,2.576,0.239,0.158,499.1,2.484,0,-0.075,0.672,35.884,1,1
Schrodinger Cat Paradox,Quantum Cascade Laser,GaN/AlGaN,Optical Communication,239.65,1.34,3.659,2.298,0.388,0.138,637.7,1.945,0,-0.276,0.23,0,0,0.467
Spintronics Devices,QD-Based LCD Pixel,MoS2,Infrared Sensing,316.21,3.309,3.255,1.589,0.298,0.217,778.4,1.593,1,0.188,0.608,15.882,0,0.287
Quantum Cascade Laser,Quantum Cascade Laser,InGaAs/InP,Visible LEDs,262.7,2.113,3.403,0.894,0.296,0.329,1434.5,0.864,1,-0.018,0.28,5.654,0,0.28
k·p Perturbation Theory,Quantum Cascade Laser,ZnSe-based,Non-Volatile Memory,301.34,1.84,4.558,2.48,0.216,0.362,477.4,2.598,0,-0.17,0.394,8.719,0,0.53
Schrodinger Cat Paradox,Quantum Well Laser,InGaAs/InP,Non-Volatile Memory,297.02,2.558,5.253,0.595,0.294,0.344,2059.1,0.602,1,0.018,0.503,14.19,0,0.365
Schrodinger Cat Paradox,Quantum Cascade Laser,InGaAs/InP,Display Technology,329.24,2.817,3.829,1.069,0.223,0.418,1126.5,1.101,1,-0.241,0.519,12.667,0,0.419
Quantum Cascade Laser,Avalanche Photodiode,WSe2,Terahertz Emission,295.53,2.356,6.665,1.573,0.317,0.124,685.4,1.809,0,-0.207,0.391,8.563,0,0.639
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Optical Communication,282.65,3.589,4.359,3.096,0.276,0.419,464.8,2.668,0,-0.292,0.454,20.768,0,0.661
Spintronics Devices,QD-Based LCD Pixel,MoS2,Visible LEDs,287.33,2.554,3.27,1.928,0.206,0.269,610.9,2.03,0,-0.213,0.518,15.218,0,0.508
Single Quantum Well,Spintronic MRAM Cell,WSe2,Optical Communication,331.82,3.98,0.546,1.833,0.399,0.373,636.6,1.948,0,0.567,0.513,34.882,1,0.415
k·p Perturbation Theory,Spintronic MRAM Cell,CdSe/CdS QDs,Optical Communication,313.41,3.281,1.209,1.543,0.343,0.168,744.5,1.666,1,0.334,0.489,16.912,0,0.425
Quantum Cascade Laser,Quantum Cascade Laser,InGaAs/InP,Infrared Sensing,290.36,2.302,3.799,0.765,0.255,0.3,1610,0.77,1,0.093,0.589,13.364,0,0.313
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Non-Volatile Memory,294.09,2.134,0.696,1.076,0.315,0.324,1240.2,1,1,-0.167,0.371,14.773,0,0.126
Photoelectric Effect,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,260.82,1.353,2.835,2.734,0.292,0.416,558.3,2.221,0,0.152,0.25,3.456,0,0.403
k·p Perturbation Theory,Quantum Cascade Laser,ZnSe-based,Display Technology,309.71,3.291,8.008,2.481,0.213,0.141,416.8,2.975,0,-0.205,0.462,21.472,0,0.834
Photoelectric Effect,Quantum Well Laser,GaAs/AlGaAs,Non-Volatile Memory,256,2.645,3.605,1.19,0.307,0.303,1023.9,1.211,1,0.008,0.386,12.293,0,0.24
k·p Perturbation Theory,Quantum Cascade Laser,InGaAs/InP,Display Technology,318.79,0.628,1.815,0.644,0.238,0.191,1874,0.662,1,0.011,0.261,3.936,0,0.055
Schrodinger Cat Paradox,2D-TMD FET,WSe2,Infrared Sensing,303.22,2.464,0.651,1.401,0.206,0.351,934.7,1.327,1,0.466,0.463,13.309,0,0.387
Photoelectric Effect,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,359.67,2.099,3.923,1.671,0.138,0.378,756.6,1.639,1,0.126,0.265,6.027,0,0.331
Single Quantum Well,2D-TMD FET,GaAs/AlGaAs,Terahertz Emission,272.5,4.576,1.273,1.884,0.264,0.429,626.2,1.98,0,-0.119,0.527,29.995,1,0.402
Spintronics Devices,Quantum Cascade Laser,CdSe/CdS QDs,Optical Communication,297.43,1.297,4.832,1.857,0.357,0.246,671.3,1.847,0,0.137,0.444,5.127,0,0.55
Single Quantum Well,QD-Based LCD Pixel,GaAs/AlGaAs,Visible LEDs,344.96,1.559,3.677,1.136,0.231,0.393,1067.8,1.161,1,0.428,0.276,5.185,0,0.496
Colloidal Quantum Dots,Quantum Cascade Laser,WSe2,Display Technology,329.78,4.11,3.033,1.253,0.552,0.436,1070.6,1.158,1,-0.326,0.575,28.472,1,0.358
Spintronics Devices,Avalanche Photodiode,WSe2,Visible LEDs,282.59,4.357,4.511,1.651,0.389,0.136,778.3,1.593,1,-0.168,0.629,29.906,1,0.56
Single Quantum Well,QD-Based LCD Pixel,WSe2,Terahertz Emission,305.6,2.255,2.124,1.637,0.43,0.361,791.1,1.567,1,-0.047,0.426,10.168,0,0.301
Spintronics Devices,2D-TMD FET,WSe2,Terahertz Emission,300.05,2.368,0.69,1.57,0.38,0.396,656.6,1.889,0,-0.083,0.381,13.939,0,0.168
k·p Perturbation Theory,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,307.05,3.616,2.623,1.444,0.485,0.274,855.2,1.45,1,-0.067,0.565,18.39,0,0.332
Single Quantum Well,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,282.53,0.673,1.812,1.479,0.221,0.179,942.5,1.316,1,-0.261,0.256,0.901,0,0.235
Schrodinger Cat Paradox,Avalanche Photodiode,InGaAs/InP,Visible LEDs,297.77,1.139,5.596,0.848,0.05,0.394,1527.8,0.812,1,0.281,0.297,6.049,0,0.416
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Infrared Sensing,260.05,2.719,3.689,2.737,0.255,0.18,360.7,3.437,0,-0.285,0.359,16.662,0,0.553
Colloidal Quantum Dots,QD-Based LCD Pixel,WSe2,Visible LEDs,303.38,4.55,3.977,1.48,0.356,0.282,822.4,1.508,1,-0.04,0.655,26.474,1,0.423
Schrodinger Cat Paradox,Quantum Cascade Laser,MoS2,Non-Volatile Memory,311.25,2.564,4.059,1.933,0.315,0.296,581.4,2.133,0,0.209,0.415,13.048,0,0.528
k·p Perturbation Theory,QD-Based LCD Pixel,CdSe/CdS QDs,Visible LEDs,294.31,3.101,3.777,2.004,0.328,0.372,704.4,1.76,1,-0.006,0.456,21.247,1,0.506
Spintronics Devices,Avalanche Photodiode,WSe2,Infrared Sensing,259.62,4.134,1.358,1.878,0.432,0.237,672.6,1.844,0,-0.196,0.564,29.741,1,0.278
Spintronics Devices,Quantum Well Laser,CdSe/CdS QDs,Infrared Sensing,324.71,5.107,5.295,2.237,0.338,0.232,515.9,2.403,0,-0.27,0.547,36.821,1,0.708
Single Quantum Well,Quantum Well Laser,InGaAs/InP,Display Technology,309.11,2.423,4.266,0.587,0.38,0.31,2115.1,0.586,1,-0.046,0.509,12.746,0,0.307
k·p Perturbation Theory,Quantum Cascade Laser,InGaAs/InP,Optical Communication,281.85,2.983,4.941,0.585,0.206,0.401,1989.8,0.623,1,-0.151,0.571,17.853,0,0.336
Photoelectric Effect,2D-TMD FET,ZnSe-based,Infrared Sensing,292.98,4.822,1.19,2.649,0.19,0.529,413.9,2.996,0,0.041,0.573,33.276,1,0.384
Single Quantum Well,Quantum Well Laser,GaN/AlGaN,Terahertz Emission,262.48,1.478,2.519,2.683,0.461,0.149,464,2.673,0,-0.28,0.232,6.6,0,0.542
Single Quantum Well,Quantum Cascade Laser,MoS2,Optical Communication,274.36,4.028,1.753,1.951,0.31,0.332,677.8,1.829,0,0.163,0.487,30.943,1,0.319
Quantum Cascade Laser,QD-Based LCD Pixel,CdSe/CdS QDs,Visible LEDs,286.55,1.982,2.288,2.105,0.238,0.191,491.9,2.521,0,0.023,0.383,6.222,0,0.36
Quantum Cascade Laser,Avalanche Photodiode,MoS2,Infrared Sensing,330.71,3.102,4.847,2.02,0.238,0.402,594.9,2.085,0,0.038,0.408,16.195,0,0.509
Schrodinger Cat Paradox,QD-Based LCD Pixel,ZnSe-based,Optical Communication,284.01,2.757,3.69,2.879,0.235,0.206,481.1,2.577,0,0.288,0.451,20.215,0,0.638
Schrodinger Cat Paradox,Avalanche Photodiode,MoS2,Visible LEDs,316.01,2.042,1.948,1.842,0.229,0.233,600.7,2.064,0,-0.088,0.377,8.952,0,0.302
Photoelectric Effect,QD-Based LCD Pixel,WSe2,Non-Volatile Memory,286.54,2.017,2.019,1.94,0.172,0.241,650.7,1.906,0,-0.145,0.428,8.823,0,0.281
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,306.2,3.276,0.638,2.894,0.15,0.292,431.8,2.872,0,0.559,0.621,33.753,1,0.571
Single Quantum Well,Spintronic MRAM Cell,ZnSe-based,Optical Communication,296.47,3.996,0.821,2.814,0.28,0.332,526.4,2.355,0,0.348,0.462,29.554,1,0.425
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Optical Communication,321.83,2.87,1.957,3.444,0.241,0.348,348.5,3.558,0,-0.018,0.424,14.901,0,0.421
Spintronics Devices,Quantum Cascade Laser,MoS2,Non-Volatile Memory,286.63,3.07,1.867,1.823,0.411,0.299,671.6,1.846,0,-0.166,0.59,24.315,0,0.339
Spintronics Devices,2D-TMD FET,WSe2,Terahertz Emission,260.69,3.571,0.589,1.639,0.329,0.167,799.2,1.551,1,-0.405,0.421,10.788,0,0.401
Quantum Cascade Laser,Quantum Well Laser,CdSe/CdS QDs,Infrared Sensing,265.45,2.028,4.129,1.749,0.327,0.373,642.8,1.929,0,-0.112,0.195,2.076,0,0.483
Spintronics Devices,QD-Based LCD Pixel,WSe2,Infrared Sensing,286.7,3.74,1.819,1.841,0.226,0.295,662.6,1.871,0,0.072,0.659,34.092,1,0.279
Spintronics Devices,Quantum Cascade Laser,WSe2,Visible LEDs,268.77,3.819,3.826,1.947,0.288,0.416,614,2.02,0,0.027,0.473,24.483,0,0.4
Spintronics Devices,QD-Based LCD Pixel,MoS2,Visible LEDs,310.26,5.604,4.059,1.79,0.336,0.229,685.8,1.808,0,0.24,0.769,47.235,1,0.567
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,288.36,2.624,0.5,3.062,0.372,0.14,447.4,2.771,0,0.23,0.498,15.833,0,0.275
Single Quantum Well,Quantum Cascade Laser,GaN/AlGaN,Optical Communication,359.37,2.542,3.69,2.409,0.291,0.297,542.4,2.286,0,0.152,0.291,6.749,0,0.592
Schrodinger Cat Paradox,Avalanche Photodiode,GaN/AlGaN,Non-Volatile Memory,256.56,3.769,5.537,2.983,0.408,0.43,378.2,3.279,0,0.277,0.443,25.088,1,0.646
Colloidal Quantum Dots,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,305.09,3.819,0.791,1.392,0.301,0.316,897.7,1.381,1,0.383,0.672,22.654,1,0.227
Single Quantum Well,Quantum Well Laser,ZnSe-based,Visible LEDs,271.8,2.465,3.139,2.655,0.379,0.28,541.6,2.289,0,0.342,0.439,11.939,0,0.573
Quantum Cascade Laser,Spintronic MRAM Cell,MoS2,Infrared Sensing,287.66,2.597,1.582,2.277,0.251,0.213,503.1,2.465,0,0.902,0.395,10.312,0,0.845
Schrodinger Cat Paradox,Quantum Well Laser,ZnSe-based,Terahertz Emission,303.54,3.541,3.541,2.787,0.119,0.476,452.2,2.742,0,0.19,0.622,32.273,1,0.703
Quantum Cascade Laser,Spintronic MRAM Cell,GaN/AlGaN,Non-Volatile Memory,241.87,2.172,1.552,2.878,0.327,0.197,421.2,2.944,0,0.546,0.315,4.118,0,0.666
Quantum Cascade Laser,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,305.92,2.589,1.214,1.405,0.373,0.227,879.3,1.41,1,0.644,0.499,14.804,0,0.486
Spintronics Devices,Quantum Well Laser,WSe2,Infrared Sensing,347.57,3.09,3.486,1.299,0.358,0.357,872.7,1.421,1,-0.008,0.426,18.602,0,0.205
Quantum Cascade Laser,QD-Based LCD Pixel,WSe2,Display Technology,288.66,3.996,3.48,1.548,0.342,0.114,871.6,1.423,1,-0.068,0.594,28.95,1,0.397
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Terahertz Emission,306.5,2.395,4.481,0.947,0.265,0.427,1270,0.976,1,0.124,0.576,8.571,0,0.366
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Optical Communication,325.62,1.158,4.021,1.674,0.219,0.362,792,1.566,1,-0.144,0.397,4.887,0,0.412
Quantum Cascade Laser,Quantum Well Laser,MoS2,Terahertz Emission,295.9,1.083,3.177,1.634,0.355,0.39,727.7,1.704,1,-0.038,0.323,0.159,0,0.376
Colloidal Quantum Dots,Avalanche Photodiode,WSe2,Display Technology,285.48,1.741,4.062,1.962,0.343,0.356,600.8,2.064,0,-0.471,0.389,3.727,0,0.607
Colloidal Quantum Dots,Quantum Cascade Laser,WSe2,Optical Communication,243.11,1.687,3.908,1.968,0.244,0.284,690.7,1.795,0,0.345,0.316,6.404,0,0.638
Quantum Cascade Laser,Avalanche Photodiode,CdSe/CdS QDs,Display Technology,316.02,2.845,5.056,2.155,0.411,0.194,625.1,1.984,0,-0.044,0.414,19.294,0,0.417
k·p Perturbation Theory,Avalanche Photodiode,InGaAs/InP,Optical Communication,297.17,1.811,2.462,0.732,0.212,0.286,1705,0.727,1,0.091,0.334,7.476,0,0.239
Photoelectric Effect,Spintronic MRAM Cell,CdSe/CdS QDs,Optical Communication,274.68,2.297,1.508,1.928,0.242,0.202,681.2,1.82,0,0.497,0.461,12.663,0,0.421
k·p Perturbation Theory,Quantum Well Laser,InGaAs/InP,Optical Communication,303.16,2.226,4.699,0.679,0.464,0.349,1810.8,0.685,1,0.06,0.471,12.401,0,0.331
Colloidal Quantum Dots,QD-Based LCD Pixel,InGaAs/InP,Visible LEDs,285.41,2.559,1.683,0.651,0.387,0.381,1905,0.651,1,0.289,0.478,6.276,0,0.277
Quantum Cascade Laser,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,286.79,4.323,5.812,1.687,0.264,0.448,702.1,1.766,1,-0.248,0.652,24.424,1,0.551
Colloidal Quantum Dots,Avalanche Photodiode,ZnSe-based,Visible LEDs,315.16,3.662,7.351,2.676,0.329,0.337,508.5,2.438,0,0.479,0.416,20.099,0,0.951
Quantum Cascade Laser,Spintronic MRAM Cell,CdSe/CdS QDs,Optical Communication,266.54,3.016,1.501,1.69,0.315,0.392,699.2,1.773,0,0.242,0.434,18.756,0,0.333
Schrodinger Cat Paradox,QD-Based LCD Pixel,InGaAs/InP,Infrared Sensing,326.18,2.539,4.427,0.565,0.05,0.27,2267.2,0.547,1,0.042,0.405,9.792,0,0.275
Colloidal Quantum Dots,Avalanche Photodiode,InGaAs/InP,Terahertz Emission,265.06,2.567,4.128,0.833,0.209,0.252,1473,0.842,1,0.285,0.456,12.019,0,0.401
Schrodinger Cat Paradox,Avalanche Photodiode,GaN/AlGaN,Terahertz Emission,283.43,3.328,1.508,3.07,0.295,0.347,404.9,3.063,0,-0.234,0.63,26.64,1,0.497
Single Quantum Well,2D-TMD FET,CdSe/CdS QDs,Display Technology,348.07,3.584,0.5,2.51,0.264,0.261,531.9,2.331,0,-0.058,0.411,19.796,0,0.251
Quantum Cascade Laser,2D-TMD FET,CdSe/CdS QDs,Optical Communication,328.18,2.092,1.128,1.799,0.325,0.327,690.3,1.796,0,0.289,0.406,12.777,0,0.356
Colloidal Quantum Dots,Spintronic MRAM Cell,WSe2,Display Technology,302.44,3.036,0.704,1.759,0.413,0.194,690,1.797,0,0.787,0.489,23.659,0,0.511
Single Quantum Well,Quantum Cascade Laser,ZnSe-based,Display Technology,276.49,0.968,2.628,2.863,0.268,0.212,431.7,2.872,0,0.112,0.318,2.908,0,0.463
Quantum Cascade Laser,Quantum Cascade Laser,ZnSe-based,Non-Volatile Memory,286.77,3.212,3.906,2.749,0.194,0.364,495.7,2.501,0,0.106,0.529,24.755,0,0.682
Photoelectric Effect,Spintronic MRAM Cell,GaN/AlGaN,Optical Communication,301.83,3.762,1.308,3.223,0.332,0.389,351.6,3.527,0,0.166,0.607,34.247,1,0.513
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Terahertz Emission,300.94,2.72,0.5,1.555,0.267,0.201,791.1,1.567,1,0.489,0.635,17.655,0,0.343
Photoelectric Effect,Avalanche Photodiode,InGaAs/InP,Visible LEDs,297.73,4.817,3.327,0.849,0.284,0.367,1460.9,0.849,1,0.322,0.66,31.816,1,0.409
Photoelectric Effect,Quantum Well Laser,InGaAs/InP,Optical Communication,299.23,2.119,6.265,0.762,0.271,0.247,1671.3,0.742,1,-0.112,0.419,11.803,0,0.421
k·p Perturbation Theory,Quantum Well Laser,InGaAs/InP,Infrared Sensing,294.64,3.217,2.387,0.746,0.524,0.302,1656.4,0.749,1,-0.089,0.562,15.226,0,0.2
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Visible LEDs,263.95,2.964,1.435,0.595,0.076,0.442,2175,0.57,1,-0.244,0.448,18.498,0,0.193
Colloidal Quantum Dots,Quantum Cascade Laser,MoS2,Optical Communication,287.09,2.9,3.273,1.639,0.261,0.381,748.8,1.656,1,-0.218,0.536,11.322,0,0.36
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Infrared Sensing,322.87,2.886,4.819,2.813,0.3,0.38,428.9,2.891,0,0.081,0.469,17.397,0,0.654
Photoelectric Effect,Quantum Cascade Laser,InGaAs/InP,Visible LEDs,265.79,3.107,5.646,0.631,0.222,0.491,1955.3,0.634,1,-0.222,0.52,13.232,0,0.447
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaAs/AlGaAs,Terahertz Emission,295.26,3.848,3.741,1.488,0.39,0.23,767.5,1.616,1,0.148,0.561,29.498,1,0.405
Quantum Cascade Laser,Quantum Well Laser,InGaAs/InP,Optical Communication,279.51,4.378,5.364,0.979,0.381,0.201,1214.1,1.021,1,-0.133,0.586,23.215,1,0.428
Single Quantum Well,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,302.78,2.998,2.273,1.728,0.295,0.228,691.2,1.794,0,-0.243,0.497,17.62,0,0.606
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Terahertz Emission,290.28,3.815,5.67,3.085,0.273,0.275,458.7,2.703,0,-0.106,0.495,23.743,0,0.679
Schrodinger Cat Paradox,Quantum Cascade Laser,InGaAs/InP,Display Technology,336.93,2.298,2.721,0.645,0.289,0.065,1921.2,0.645,1,0.067,0.315,7.458,0,0.088
Colloidal Quantum Dots,QD-Based LCD Pixel,GaN/AlGaN,Terahertz Emission,312.66,3.766,3.26,2.909,0.29,0.279,402.1,3.084,0,-0.055,0.571,27.653,1,0.418
Single Quantum Well,Quantum Cascade Laser,WSe2,Infrared Sensing,267.2,2.238,4.387,1.562,0.292,0.246,855.2,1.45,1,0.007,0.358,7.405,0,0.474
Photoelectric Effect,Quantum Cascade Laser,MoS2,Display Technology,316.78,4.091,4.728,1.92,0.281,0.378,723.3,1.714,1,0.139,0.532,12.132,0,0.633
Colloidal Quantum Dots,2D-TMD FET,GaAs/AlGaAs,Terahertz Emission,280.63,5.211,1.168,1.264,0.325,0.335,1043.6,1.188,1,0.216,0.707,34.773,1,0.218
k·p Perturbation Theory,Quantum Well Laser,GaAs/AlGaAs,Infrared Sensing,285.58,2.878,2.734,1.602,0.375,0.24,731.2,1.696,1,-0.062,0.501,14.729,0,0.431
Photoelectric Effect,Spintronic MRAM Cell,GaN/AlGaN,Visible LEDs,307.85,0.807,0.5,2.926,0.177,0.359,399,3.108,0,0.589,0.329,6.836,0,0.624
Quantum Cascade Laser,Spintronic MRAM Cell,ZnSe-based,Non-Volatile Memory,287.71,2.452,1.436,2.67,0.195,0.372,555.1,2.234,0,0.646,0.371,17.208,0,0.613
Colloidal Quantum Dots,Quantum Cascade Laser,MoS2,Visible LEDs,322.32,4.232,4.279,1.549,0.125,0.223,812.4,1.526,1,0.094,0.625,26.495,1,0.431
Spintronics Devices,QD-Based LCD Pixel,CdSe/CdS QDs,Infrared Sensing,280.64,3.553,4.149,2.076,0.387,0.251,583.9,2.124,0,-0.292,0.549,27.364,1,0.597
Colloidal Quantum Dots,Avalanche Photodiode,WSe2,Terahertz Emission,284.53,3.249,3.933,1.879,0.325,0.077,695.8,1.782,0,-0.178,0.543,19.792,0,0.561
Single Quantum Well,2D-TMD FET,InGaAs/InP,Terahertz Emission,283.59,4.009,0.5,0.841,0.351,0.191,1524.8,0.813,1,-0.144,0.675,29.14,1,0.17
Single Quantum Well,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,285.86,3.484,5.449,1.848,0.157,0.226,642.5,1.93,0,-0.042,0.557,24.439,0,0.491
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Display Technology,327.48,4.218,0.815,3.086,0.478,0.307,412.8,3.004,0,0.455,0.596,32.281,1,0.544
Schrodinger Cat Paradox,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,315.72,3.919,1.171,1.338,0.239,0.205,972.7,1.275,1,0.232,0.579,23.838,1,0.417
Schrodinger Cat Paradox,2D-TMD FET,WSe2,Display Technology,342.75,4.522,0.676,1.636,0.317,0.249,699.7,1.772,0,-0.321,0.499,31.02,1,0.338
Spintronics Devices,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,356.69,3.359,6.466,1.494,0.385,0.177,830.6,1.493,1,-0.316,0.325,11.243,0,0.735
