Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
Laser Ablation,Ar,1159.41,423.81,1.16,46.61,86.68,0.841,0.915,1009.02,122.5,697700,147.0441,Interconnect,7.89,2.82,16.35,Junction_Breakdown,8,8,6,1,CNT_EMI_Composites
Laser Ablation,Ar,1347.26,524.96,0.59,77.18,89.13,0.829,1.578,791.28,127.31,741900,120.3616,Biomedical,12.55,18.72,56.11,Junction_Breakdown,7,4,4,1,CNT_Sensors
Laser Ablation,Ar,1138.72,555.3,2.23,52.77,88.4,0.881,1.119,1911.16,69.84,954400,85.0483,Energy_Electrode,37.54,8.08,250.34,Electromigration,9,7,6,1,CNT_Interconnects
CVD,CH4,715.23,196.01,1.24,52.14,92.24,0.738,1.891,113.46,46,1004000,106.9734,Energy_Electrode,27.06,16.24,191.77,Thermal_Runaway,8,7,6,1,CNT_Interconnects
Laser Ablation,Ar,1258.27,574.43,0.87,65.07,88.34,0.893,1.399,755.78,53.32,1025000,106.1636,Biomedical,24.96,18.47,53.57,Thermal_Runaway,8,6,3,0,CNT_Synthesis_Optimization
CVD,C2H2,782.11,337.12,1.74,31.3,94.62,0.766,0.839,1135.23,73.6,868800,107.8023,EMI_Shielding,47.89,9.42,10.01,Junction_Breakdown,4,4,8,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1158.47,417.37,2.89,82.96,85.67,0.822,0.974,1271.7,97.71,890900,131.7769,Interconnect,15.22,6.88,32.83,Contamination,6,2,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1232.15,466.28,2.21,92.64,86.97,0.627,9.256,142.37,149.38,828600,108.6825,Energy_Electrode,25.9,6.86,89.4,Thermal_Runaway,8,6,7,0,CNT_Synthesis_Optimization
CVD,CH4,753.12,308.08,0.81,71.88,98.57,0.664,2.049,1084.51,92.17,785000,144.2805,Sensor,5.07,40.1,48.63,Pore_Collapse,7,8,7,0,CNT_Interconnects
Arc Discharge,He,4244.36,209.76,2.69,56.37,70.26,0.268,14.872,1163.88,106.1,492500,209.6946,Interconnect,8.95,1.68,9.97,Pore_Collapse,8,6,4,1,CNT_EMI_Composites
CVD,CO,728.46,235.15,0.8,56.43,86.2,0.707,1.647,403.33,41.42,863700,102.5447,Interconnect,14.25,0.46,16.63,Drift_in_Sensitivity,4,7,5,0,CNT_Synthesis_Optimization
CVD,C2H2,774.93,232.57,1.93,72.55,87.34,0.565,7.948,1965.26,149.38,695400,122.8411,Sensor,19.93,29.93,53.69,Matrix_Cracking,5,6,6,0,CNT_Synthesis_Optimization
Arc Discharge,He,4447.32,492.29,2.83,100.39,84.52,0.388,29.021,832.3,90.38,601200,136.7894,Energy_Electrode,26.89,10.17,238.97,Thermal_Runaway,8,7,6,0,CNT_EMI_Composites
Laser Ablation,Ar,1341.78,407.13,1.7,55.89,85.83,0.816,1.337,1709.58,69.7,740000,145.5248,Sensor,25.06,19.18,6.21,Thermal_Runaway,8,2,4,1,CNT_Synthesis_Optimization
Arc Discharge,He,3780.45,314.25,2.42,106.36,76.61,0.311,16.266,1368.19,111.25,532900,205.9686,EMI_Shielding,52.61,7.01,66.06,Contamination,7,5,7,1,CNT_Synthesis_Optimization
CVD,CO,728.82,264.76,1.02,94.02,85.23,0.5,14.905,1172.35,121.57,627800,129.6859,Energy_Electrode,32.48,18.33,63.89,Electromigration,4,6,7,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1143.41,520.48,1.41,85.3,87.1,0.608,24.577,136.02,134.74,715500,167.6866,Sensor,29.89,50.48,57.44,Electromigration,5,4,4,0,CNT_Synthesis_Optimization
CVD,C2H2,719.87,162,1.47,76.72,91.26,0.429,29.089,118.93,134.29,810000,139.0146,Interconnect,11.82,6.16,36.1,Electromigration,8,3,8,1,CNT_Interconnects
Arc Discharge,He,4199.18,309.38,0.55,42.66,75.94,0.382,17.486,1372.76,54.25,463600,237.8101,Energy_Electrode,14.69,17.1,215.66,Drift_in_Sensitivity,5,4,8,0,CNT_Synthesis_Optimization
CVD,CO,752.73,115.54,1.68,35.72,92.84,0.698,16.374,1671.44,90.18,734600,115.9938,Interconnect,10.23,2.48,30.87,Matrix_Cracking,4,6,8,0,CNT_Interconnects
Arc Discharge,Ar,3797.16,211.75,2.85,59.74,78.21,0.211,22.16,700.71,113.75,415800,207.7903,Interconnect,2.16,5.29,34.49,Matrix_Cracking,9,7,4,1,CNT_Interconnects
Laser Ablation,Ar,1170.34,554.9,1.82,50.51,85.3,0.855,1.234,526.84,51.07,686900,137.9339,Interconnect,9.81,9.41,14.64,Drift_in_Sensitivity,8,3,2,1,CNT_Synthesis_Optimization
Arc Discharge,He,4388.3,298.62,2.67,47.55,83.81,0.443,25.658,1174.58,84.37,664800,169.9007,Interconnect,4.53,2.54,27.33,Pore_Collapse,8,6,7,0,CNT_Interconnects
Arc Discharge,Ar,3624.81,233.99,1.74,55.02,82.5,0.558,13.889,1523.01,106.53,786600,116.0774,Energy_Electrode,34.76,15.96,272.14,Electromigration,6,3,8,0,CNT_Interconnects
Arc Discharge,Ar,3701.33,388.14,2.33,74.43,82.97,0.324,14.096,770.5,94.29,561100,166.1315,EMI_Shielding,51.18,8.38,45.46,Drift_in_Sensitivity,4,2,6,0,CNT_Synthesis_Optimization
CVD,CH4,778.2,254.9,2.56,80.65,98.23,0.49,3.526,163.39,95.7,769700,127.0216,Biomedical,16.03,6.1,75.63,Thermal_Runaway,4,8,8,1,CNT_Sensors
Laser Ablation,Ar,1304.76,422.19,0.71,54.22,86.21,0.881,1.3,1689.6,55.04,997300,103.971,EMI_Shielding,71.04,6.65,10.89,Drift_in_Sensitivity,9,2,6,0,CNT_Sensors
CVD,CH4,749.38,373.55,2.61,68.03,87.25,0.699,6.765,1286.57,44.39,782500,129.8217,EMI_Shielding,23.42,1.38,51.67,Junction_Breakdown,7,3,3,0,CNT_Sensors
Arc Discharge,He,4158.66,443.54,2.81,53.8,87.73,0.247,14.229,14.77,79.39,607400,174.6795,Interconnect,19,3.06,39.33,Electromigration,5,6,3,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1388.79,549.98,2.63,69.98,87.13,0.827,1.456,1084.02,43.36,722900,134.8591,Energy_Electrode,26.94,7.92,91.09,Junction_Breakdown,6,7,6,1,CNT_Synthesis_Optimization
CVD,CH4,764.02,305.63,0.58,88.2,97.19,0.48,2.532,875.03,119.36,835100,97.38,Biomedical,23.88,13.35,65.94,Electromigration,8,2,2,0,CNT_Sensors
CVD,C2H2,734.52,308.57,0.92,47.51,90.01,0.529,7.599,394.6,43.72,852200,132.4413,EMI_Shielding,76.91,3.8,15.37,Junction_Breakdown,4,4,6,0,CNT_Sensors
Laser Ablation,Ar,1133.85,458.1,2.6,88.55,87.21,0.737,1.601,72.29,135.1,897700,121.2998,Biomedical,10.97,8.58,44.58,Electromigration,6,2,8,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,3868.65,470.86,1.62,46.91,75.62,0.435,22.908,63.28,120.63,683100,164.4338,Interconnect,15.2,3.45,25.32,Matrix_Cracking,6,2,2,0,CNT_Energy_Electrodes
CVD,CH4,795.3,183.66,2,74.03,98.7,0.674,7.518,843.42,76.06,729300,116.3632,Sensor,15.62,60.36,5.39,Pore_Collapse,5,5,2,0,CNT_Interconnects
Laser Ablation,Ar,1221.25,515.85,2.05,52.03,89.4,0.831,0.745,1334.15,80.56,836400,109.3111,Interconnect,6.2,8.47,21.48,Drift_in_Sensitivity,6,2,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1109.89,474.64,0.92,65.91,87.17,0.695,5.985,1620.9,148.44,720700,120.7604,EMI_Shielding,36.25,4.11,31.18,Junction_Breakdown,6,7,3,1,CNT_EMI_Composites
CVD,CO,731.2,181.9,0.89,46.73,93.65,0.406,26.812,1679.78,113.84,802000,109.9425,Biomedical,5.76,7.79,15.48,Junction_Breakdown,9,6,8,0,CNT_Sensors
Arc Discharge,Ar,4546.7,286.72,1.09,26.49,86.08,0.5,15.033,49.3,70.92,603500,155.7843,Interconnect,9.05,7.51,22.73,Drift_in_Sensitivity,8,5,4,1,CNT_Sensors
Arc Discharge,Ar,4221.31,459.59,1.87,37.53,76,0.598,13.782,925.82,117.84,520500,225.2324,EMI_Shielding,30.58,1.41,49.96,Contamination,6,5,4,1,CNT_Energy_Electrodes
Arc Discharge,He,3909.02,407.13,2.37,56.13,76.59,0.32,28.23,1893.23,99.86,622900,135.5629,Energy_Electrode,31.4,1.81,72.84,Thermal_Runaway,8,3,8,0,CNT_Interconnects
Laser Ablation,Ar,1063.59,402.23,2.67,59.64,88.93,0.6,11.604,1832.39,62.85,622200,192.3409,EMI_Shielding,66.88,5.75,58.55,Electromigration,5,3,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1192.08,470.65,1.58,51.03,85.75,0.86,0.736,1512.86,90.1,789500,130.6473,Biomedical,10.28,6.63,63.03,Junction_Breakdown,6,2,5,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1210.84,452.17,2.39,69.56,86.64,0.745,1.219,1250.29,145.91,793100,142.148,Energy_Electrode,15.92,9.5,217.65,Pore_Collapse,4,4,2,0,CNT_Synthesis_Optimization
Arc Discharge,He,3787.71,339.58,1.47,62.31,88.8,0.307,4.819,968.94,91.45,692000,147.5828,Interconnect,12.52,2.54,27.82,Thermal_Runaway,4,7,4,0,CNT_EMI_Composites
CVD,C2H2,793.43,268.68,2.36,36.74,93.1,0.445,13.935,1054.32,130.47,636500,162.85,Energy_Electrode,39.62,0.91,278.27,Junction_Breakdown,6,2,2,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1179.68,559.01,2.14,52.17,87.59,0.691,26.377,920.89,102.24,835900,99.5416,Interconnect,5.77,8.15,15.85,Junction_Breakdown,9,5,7,1,CNT_Sensors
Arc Discharge,He,4095.08,293.99,2.28,32.03,84.37,0.323,4.287,250.82,121.82,587300,186.7253,Energy_Electrode,23.76,10.97,180.76,Pore_Collapse,5,3,8,0,CNT_Interconnects
Laser Ablation,Ar,1182.13,471.43,2.49,69.91,88.05,0.644,20.092,1003.77,53.38,647700,125.0182,Interconnect,4.46,5.48,6.49,Drift_in_Sensitivity,4,5,4,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4514.3,275.4,2.55,57.58,83.25,0.495,12.352,1742.75,107.79,710200,114.0791,Interconnect,14.59,9.26,25.37,Junction_Breakdown,7,8,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1297.28,499.66,1.35,43.8,89.51,0.885,1.504,1520.94,97.06,812400,133.1471,Biomedical,20.51,13.25,29.94,Contamination,4,8,3,1,CNT_Sensors
CVD,CO,744.16,371.79,1.96,52.51,91.21,0.547,29.136,127.84,81.79,697100,130.8247,Biomedical,14.27,36.56,47.38,Pore_Collapse,4,4,7,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1118.13,440.74,0.9,57.85,87.52,0.747,0.991,1069.85,107.04,904400,98.2222,Interconnect,15.6,4.71,13.61,Electromigration,4,5,5,0,CNT_Interconnects
CVD,C2H2,745.22,131.02,1.63,30.08,98.92,0.739,1.26,938.67,140.16,1016000,78.9957,Interconnect,5.5,2.37,34.06,Electromigration,5,4,2,1,CNT_Sensors
CVD,CO,659.49,360.95,2.09,77.45,96.69,0.401,12.408,1125.02,48.92,625800,176.0442,EMI_Shielding,71.31,0.29,11.92,Matrix_Cracking,7,5,8,1,CNT_EMI_Composites
Laser Ablation,Ar,1114.53,410.93,1.56,35.35,88.89,0.724,1.034,114.67,119.22,706700,120.4289,Energy_Electrode,22.28,6.42,71.22,Matrix_Cracking,5,5,7,0,CNT_Interconnects
CVD,CH4,708.51,322.98,1.01,79.02,94.57,0.788,1.696,966.87,86.39,925900,106.3259,Energy_Electrode,34.05,4.83,130.67,Junction_Breakdown,4,2,5,0,CNT_Energy_Electrodes
Arc Discharge,He,4254.01,280.36,2.56,53.95,79.34,0.267,10.857,235.31,72.24,433100,212.5141,Sensor,12.29,25.81,40.28,Thermal_Runaway,8,4,7,0,CNT_Sensors
Laser Ablation,Ar,1205.65,557.65,2.61,43.7,85.39,0.64,15.739,1719.97,61.53,616200,177.2891,Interconnect,13.9,8.97,22.24,Thermal_Runaway,8,6,5,0,CNT_Energy_Electrodes
CVD,CO,713.93,260.93,2.14,62.44,90.29,0.742,1.439,1241.37,136.03,734000,132.7583,Sensor,24.14,48.86,50.39,Junction_Breakdown,5,2,8,0,CNT_Sensors
Laser Ablation,Ar,1268.7,436.47,1.97,43.47,89.83,0.891,0.98,1181.04,46.08,999600,84.8501,EMI_Shielding,22.82,6.44,37.11,Junction_Breakdown,7,3,8,1,CNT_EMI_Composites
Arc Discharge,He,4017.7,372.78,2.19,81.91,85.36,0.522,4.782,1098.47,121.91,724800,161.9306,EMI_Shielding,50.41,0.44,76.38,Thermal_Runaway,9,7,3,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1137.9,519.98,0.78,55.18,88.99,0.808,0.967,1929.99,43.65,842200,134.9523,Energy_Electrode,17.2,19.39,225.12,Pore_Collapse,8,5,3,0,CNT_Energy_Electrodes
Arc Discharge,Ar,4475.38,231.9,0.81,56.2,82.16,0.491,20.444,1975.95,141.5,707400,166.0939,EMI_Shielding,69.27,0.15,15.01,Junction_Breakdown,4,8,5,0,CNT_Interconnects
Laser Ablation,Ar,1258.93,426.63,2.76,55.97,87.35,0.894,1.107,643.84,132.19,932000,89.4011,Energy_Electrode,15.08,5.73,75.26,Contamination,9,6,7,0,CNT_EMI_Composites
Arc Discharge,Ar,3899.37,384.76,0.7,61.44,86.85,0.58,25.117,152.39,66.02,778200,115.8475,Biomedical,7.76,33.85,17.18,Pore_Collapse,9,4,2,1,CNT_Interconnects
Arc Discharge,Ar,3244.45,334.09,2.94,42.92,79.5,0.415,27.179,82.82,50.45,636400,180.3287,Sensor,12.82,60.3,56.57,Thermal_Runaway,7,4,2,1,CNT_Sensors
CVD,CH4,672.01,388.93,2.11,22.59,86.87,0.704,1.789,582.88,136.39,632800,159.2643,EMI_Shielding,42.52,6.69,35.5,Contamination,6,5,4,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1104.98,511.62,2.84,21.86,89.34,0.841,1.21,1629.59,85.26,753600,106.8674,Interconnect,10.99,1.55,36.34,Contamination,8,3,2,1,CNT_Sensors
Laser Ablation,Ar,1186.95,576.92,0.69,60.74,88.94,0.865,1.512,1705.29,132.03,822000,133.8696,Interconnect,17.3,1.64,19.11,Drift_in_Sensitivity,9,7,4,0,CNT_EMI_Composites
Laser Ablation,Ar,1262.98,494.57,1.31,74.24,89.75,0.891,1.748,1854.54,69.43,900600,100.1135,Interconnect,13.39,7.1,15.11,Drift_in_Sensitivity,8,6,3,0,CNT_EMI_Composites
CVD,CH4,708.91,124.3,2.37,25.99,95.51,0.64,7.307,91.58,92.1,939000,106.342,Sensor,7.45,82.31,52.69,Thermal_Runaway,6,4,4,0,CNT_EMI_Composites
CVD,C2H2,693.51,267.63,0.57,72.04,92.98,0.48,10.86,382.88,130.39,714100,112.289,EMI_Shielding,48.91,3.16,61.33,Contamination,7,5,8,0,CNT_Synthesis_Optimization
Arc Discharge,He,3954.94,417.23,2.19,21.3,73.71,0.554,5.991,705.14,105.98,688300,154.7111,EMI_Shielding,28.41,3.02,24.3,Electromigration,4,4,6,1,CNT_Synthesis_Optimization
CVD,C2H2,645.68,296.07,1.19,84.68,88.81,0.601,5.892,1377.79,50.62,664400,128.0648,Interconnect,8.75,0.63,31.1,Junction_Breakdown,7,3,3,1,CNT_Energy_Electrodes
Arc Discharge,He,3120.81,300.54,2.69,66.79,80.59,0.548,7.05,599.1,100.51,572000,145.2652,Interconnect,0.26,5.91,26.21,Contamination,8,2,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1217.08,447.76,1.58,74.4,85.7,0.706,1.799,587.86,129.52,774900,148.3152,Sensor,17.2,33.59,43.85,Electromigration,4,7,6,1,CNT_EMI_Composites
Arc Discharge,He,4123.7,330.12,2.33,76.84,78.41,0.526,18.963,643.51,128.06,719200,166.687,Biomedical,10.18,7.54,14.68,Junction_Breakdown,5,2,8,0,CNT_Sensors
Arc Discharge,Ar,3526.05,415.35,1.16,45.59,88.4,0.287,12.784,782.17,110.44,542600,177.6747,Biomedical,21.24,24.81,30.49,Pore_Collapse,8,5,8,0,CNT_Synthesis_Optimization
CVD,CH4,649.21,205.2,1.42,89.25,90.16,0.407,20.419,1106.05,65.53,671200,163.851,EMI_Shielding,64.82,4.32,39.47,Matrix_Cracking,6,7,5,1,CNT_Interconnects
Arc Discharge,He,4223.24,427.66,1.24,74.95,78.58,0.416,5.196,1752.56,135.43,560500,211.5294,Sensor,13.75,58.77,35.51,Electromigration,6,7,5,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4536.79,473.13,2.48,110.14,70.07,0.483,10.308,329.72,77.21,563300,191.9622,Interconnect,17.99,1.12,9.4,Matrix_Cracking,6,4,7,1,CNT_Sensors
CVD,CH4,738.05,251.39,1.19,65.74,92.32,0.473,11.041,509.15,90.94,714300,136.4495,Sensor,14.34,21.72,38.25,Drift_in_Sensitivity,4,4,5,0,CNT_Interconnects
CVD,CH4,745.3,188.7,2.24,54.1,97.44,0.407,2.699,1568.86,138.25,665100,121.6052,Sensor,20.59,28.02,44.44,Contamination,6,3,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,4131.15,261.95,2.85,31.18,81.78,0.289,17.159,1588.71,58.71,647000,151.1106,Biomedical,17.68,19.3,72.53,Drift_in_Sensitivity,6,2,8,1,CNT_Energy_Electrodes
CVD,CO,637.24,204.88,1.21,41.51,92.59,0.763,0.97,1889.06,144.42,841900,140.527,Biomedical,20.69,14,43.95,Drift_in_Sensitivity,9,7,4,1,CNT_Sensors
Laser Ablation,Ar,1238.62,404.71,2.25,117.74,89.37,0.837,1.757,1989.71,83.89,866600,119.7308,Biomedical,9.57,22.83,34.47,Junction_Breakdown,8,6,3,1,CNT_Interconnects
CVD,CH4,812.08,376.73,2.46,41.03,97.98,0.739,1.17,1910.75,77.19,791000,102.1142,Biomedical,7.12,35.93,16.29,Junction_Breakdown,5,3,2,0,CNT_Interconnects
Arc Discharge,Ar,4058.14,318.36,2.3,75.33,77.35,0.403,10.173,539.55,62.59,549400,198.3277,Biomedical,12.33,30.58,32.47,Electromigration,9,2,7,0,CNT_Sensors
Arc Discharge,He,3978.01,384.09,2.1,55.07,85.02,0.559,22.795,1925.92,85,576200,180.8378,Biomedical,24.45,30.78,40.54,Junction_Breakdown,6,3,6,1,CNT_EMI_Composites
CVD,CH4,666.38,320.05,1.36,36.75,95.14,0.449,27.62,1670.53,87.2,794600,134.4783,Interconnect,4.46,2.02,21.26,Pore_Collapse,4,8,7,1,CNT_Sensors
Laser Ablation,Ar,1200.08,545.72,0.83,85.61,89.21,0.651,14.844,1556.92,46.74,659600,128.7883,Interconnect,8.76,9.83,30.98,Matrix_Cracking,4,4,3,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,3953.61,229.95,1.94,46.22,84.27,0.479,2.963,1823.81,57.59,566900,144.6669,Interconnect,18.74,9.27,22.52,Contamination,9,3,5,1,CNT_EMI_Composites
Arc Discharge,He,3634.68,310.85,2.3,86.42,75.9,0.584,20.695,789.04,144.5,592600,192.0634,Biomedical,6.26,32.16,10.79,Matrix_Cracking,7,5,6,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1150.47,590.22,2.51,85.56,86.74,0.704,1.706,286.74,62.25,707700,142.4175,Energy_Electrode,33.82,4.47,175.4,Junction_Breakdown,7,7,5,0,CNT_Sensors
CVD,CO,697.9,109.87,1.74,81.28,95.45,0.685,18.981,1179.47,56,685600,167.6686,Energy_Electrode,20.24,3.38,274.08,Thermal_Runaway,9,8,7,0,CNT_Interconnects
Laser Ablation,Ar,1246.6,497.15,2.08,50.33,87.14,0.879,1.29,951.63,112.01,783600,114.9052,Interconnect,3.74,4.13,29.4,Pore_Collapse,4,3,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1237.52,565.86,2.94,73.3,85.83,0.679,7.696,842.03,127.63,671200,134.4272,Biomedical,24.81,23.3,13.9,Matrix_Cracking,5,4,5,0,CNT_Sensors
Arc Discharge,He,4492.25,349.55,1.29,47.11,81.78,0.276,23.3,892.95,67.27,479300,202.5878,Interconnect,2.99,9.76,16.43,Drift_in_Sensitivity,6,3,7,1,CNT_Synthesis_Optimization
CVD,CO,675.51,202.47,2.69,54.14,96.42,0.623,24.994,948.15,130.57,822700,138.2129,Biomedical,17,25.26,74.1,Drift_in_Sensitivity,9,4,3,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1302.02,449.7,1.88,70.79,86.53,0.852,0.81,1325.67,41.34,978600,91.1971,Sensor,26.7,46.38,23.18,Drift_in_Sensitivity,6,8,2,0,CNT_Sensors
Laser Ablation,Ar,1120.48,454.06,1.14,58.21,89.35,0.794,1.99,548.59,101.07,732500,131.1208,Interconnect,13.97,1.54,33.88,Drift_in_Sensitivity,9,6,8,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,3987.02,342.68,0.65,39.42,70.19,0.394,27.306,535.37,105.66,515800,185.233,Energy_Electrode,29.99,19.67,64.01,Pore_Collapse,5,7,2,1,CNT_Sensors
Laser Ablation,Ar,1246.25,542.91,1.88,71.59,88.86,0.832,0.808,1437.75,56.16,771000,143.1272,Energy_Electrode,34.31,6.49,203.76,Thermal_Runaway,9,2,5,0,CNT_Sensors
Laser Ablation,Ar,1376.5,418.33,1.28,87.78,88.72,0.823,1.99,1841.03,54.9,684500,142.9529,Energy_Electrode,21.01,17.74,60.88,Contamination,7,8,5,1,CNT_Energy_Electrodes
CVD,CO,730.33,288.33,2.6,62.4,94.65,0.526,16.691,1692.74,57.95,750100,130.8072,EMI_Shielding,32.68,2.98,26.51,Drift_in_Sensitivity,9,4,5,1,CNT_Sensors
Arc Discharge,He,3931.62,306.45,2.71,63,88.78,0.343,6.165,542.95,119.86,611800,137.7448,Energy_Electrode,13.56,17.93,237.99,Contamination,6,6,4,0,CNT_EMI_Composites
Arc Discharge,He,3710.54,299.19,0.61,56.7,72.84,0.518,15.031,1898.17,90.02,477600,249.142,EMI_Shielding,57.24,2.01,33.73,Contamination,9,3,4,0,CNT_Sensors
Arc Discharge,He,3766.65,354.79,1.24,102.57,86.21,0.298,8.076,1722.6,71.7,485200,185.8843,EMI_Shielding,75.19,8.03,43.07,Matrix_Cracking,6,8,6,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1179.11,412.85,2.34,35.45,87.2,0.899,1.712,78.36,123.37,1024000,89.2783,Interconnect,4.48,0.27,31.16,Drift_in_Sensitivity,7,6,5,1,CNT_EMI_Composites
Arc Discharge,He,3819.38,461.04,2.41,56.88,85.16,0.397,29.624,122.12,80.5,674700,153.2566,EMI_Shielding,32.09,6.97,58.44,Pore_Collapse,4,4,6,0,CNT_Sensors
Laser Ablation,Ar,1005.54,411.38,2.35,28.72,86.33,0.733,1.04,1685.88,76.67,696000,166.5962,Energy_Electrode,31.84,1.59,168.74,Matrix_Cracking,6,6,3,0,CNT_EMI_Composites
Laser Ablation,Ar,1339.95,498.17,1.57,67.01,86.96,0.671,1.661,1703.85,148.58,733400,139.0766,Interconnect,9.1,7.54,5.45,Junction_Breakdown,6,2,4,0,CNT_Synthesis_Optimization
CVD,C2H2,764.7,151.6,2,58.14,90.64,0.691,27.908,787.38,51.38,878300,92.1735,EMI_Shielding,52.13,2.91,7.66,Matrix_Cracking,6,7,7,0,CNT_Interconnects
CVD,C2H2,860.93,168.52,2.63,62.16,97.34,0.488,3.365,1784.24,129.59,875400,93.7647,Biomedical,23.32,14.49,51.63,Pore_Collapse,5,5,8,0,CNT_Energy_Electrodes
Arc Discharge,He,3827.93,430.81,1.6,63.24,74.4,0.339,19.047,924.15,78.23,425100,200.0842,Biomedical,5.82,21.65,17.51,Contamination,8,8,7,1,CNT_EMI_Composites
Arc Discharge,Ar,3971.54,292.93,2.5,91.37,75.55,0.266,3.221,1771.52,131.94,480100,225.3634,Biomedical,13.48,19.62,64.58,Junction_Breakdown,9,3,7,1,CNT_Synthesis_Optimization
CVD,C2H2,673.55,231.24,1.24,82.83,96.43,0.6,10.207,989.36,52.73,677700,146.13,EMI_Shielding,28.94,3.95,75.81,Drift_in_Sensitivity,9,5,3,1,CNT_EMI_Composites
Laser Ablation,Ar,1174.64,436.13,2.95,40.72,89.53,0.82,1.001,543.73,147.35,889100,116.1499,Biomedical,8.98,18.83,43.8,Junction_Breakdown,4,8,6,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1119.74,502.87,2.67,87.4,87.3,0.706,1.594,235.95,80.38,788600,112.8806,Energy_Electrode,32.73,9.19,109.94,Drift_in_Sensitivity,9,2,4,1,CNT_Synthesis_Optimization
CVD,CH4,732.13,318.48,0.78,64.9,98.28,0.497,26.227,821.7,57.05,770600,119.5468,EMI_Shielding,52.24,3.08,13.26,Pore_Collapse,9,6,8,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1246.9,580.2,1.07,50.87,86.26,0.824,1.784,460.25,63.38,890200,128.5287,Energy_Electrode,39.13,11.32,58.77,Drift_in_Sensitivity,4,7,5,1,CNT_EMI_Composites
Arc Discharge,He,3848.09,258.67,1.84,75.28,88.68,0.38,26.088,39.21,48.99,547000,217.5421,Sensor,12.22,86.72,12.41,Contamination,5,5,5,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4005.95,452.92,1.26,44.28,88.78,0.556,15.175,475.88,94.21,645800,181.7229,Energy_Electrode,26.53,9.9,163.56,Matrix_Cracking,9,6,4,1,CNT_Synthesis_Optimization
CVD,CO,693.61,228.74,0.51,83.31,88.69,0.431,5.477,1103.73,67.02,674600,145.1749,Biomedical,10.25,14.41,41.82,Drift_in_Sensitivity,7,3,7,0,CNT_Synthesis_Optimization
CVD,CH4,781.09,163.09,2.48,80.37,94.84,0.433,25.337,562.03,56.83,799600,149.0058,Sensor,6.72,15.08,18.01,Matrix_Cracking,8,8,7,0,CNT_Interconnects
CVD,C2H2,717.02,108.83,2.67,47.84,90.64,0.508,14.504,742.07,77.84,812300,143.135,Sensor,15.94,68.24,58.23,Drift_in_Sensitivity,5,4,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1123.29,539.94,1.09,78.42,88.62,0.815,1.771,1026.25,143.97,740800,139.7492,Energy_Electrode,25.6,15.54,284.64,Contamination,6,3,4,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1293.37,588.84,0.65,110.1,85.7,0.821,1.971,1740.69,93.88,694700,118.1453,Energy_Electrode,24.49,14.23,82.73,Contamination,7,8,8,1,CNT_Sensors
Laser Ablation,Ar,1129.41,566.69,1.97,60.91,87.39,0.679,13.895,491.97,122.86,658000,132.1616,Sensor,11.59,51.71,46.53,Junction_Breakdown,9,5,2,1,CNT_Sensors
CVD,CH4,776.29,289.65,2.23,19.19,92,0.677,20.226,1076.49,97.31,660600,121.3853,EMI_Shielding,64.76,3.9,46.26,Junction_Breakdown,4,8,2,0,CNT_EMI_Composites
Laser Ablation,Ar,1397.61,534,0.52,64.3,89.9,0.642,17.297,974.14,44.78,815300,133.5994,Energy_Electrode,14.66,5.65,69.73,Electromigration,4,7,5,0,CNT_Sensors
Laser Ablation,Ar,1304.82,413.25,0.52,32.41,88.98,0.751,1.678,125,78.3,672900,163.292,Biomedical,14.81,14.03,69.7,Contamination,7,6,5,0,CNT_EMI_Composites
